iso_code,location,date,total_cases,total_deaths
ABW,Aruba,2020/3/13,2,0
ABW,Aruba,2020/3/20,4,0
ABW,Aruba,2020/3/24,12,0
ABW,Aruba,2020/3/25,17,0
ABW,Aruba,2020/3/26,19,0
ABW,Aruba,2020/3/27,28,0
ABW,Aruba,2020/3/28,28,0
ABW,Aruba,2020/3/29,28,0
ABW,Aruba,2020/3/30,50,0
ABW,Aruba,2020/4/1,55,0
ABW,Aruba,2020/4/2,55,0
ABW,Aruba,2020/4/3,60,0
ABW,Aruba,2020/4/4,62,0
ABW,Aruba,2020/4/5,64,0
ABW,Aruba,2020/4/6,64,0
ABW,Aruba,2020/4/7,71,0
ABW,Aruba,2020/4/8,74,0
ABW,Aruba,2020/4/9,77,0
ABW,Aruba,2020/4/10,82,0
ABW,Aruba,2020/4/11,86,0
ABW,Aruba,2020/4/12,92,0
ABW,Aruba,2020/4/13,92,0
ABW,Aruba,2020/4/14,92,0
ABW,Aruba,2020/4/15,92,0
ABW,Aruba,2020/4/16,93,1
ABW,Aruba,2020/4/17,95,1
ABW,Aruba,2020/4/18,96,2
ABW,Aruba,2020/4/19,96,2
ABW,Aruba,2020/4/20,97,2
ABW,Aruba,2020/4/21,97,2
AFG,Afghanistan,2019/12/31,0,0
AFG,Afghanistan,2020/1/1,0,0
AFG,Afghanistan,2020/1/2,0,0
AFG,Afghanistan,2020/1/3,0,0
AFG,Afghanistan,2020/1/4,0,0
AFG,Afghanistan,2020/1/5,0,0
AFG,Afghanistan,2020/1/6,0,0
AFG,Afghanistan,2020/1/7,0,0
AFG,Afghanistan,2020/1/8,0,0
AFG,Afghanistan,2020/1/9,0,0
AFG,Afghanistan,2020/1/10,0,0
AFG,Afghanistan,2020/1/11,0,0
AFG,Afghanistan,2020/1/12,0,0
AFG,Afghanistan,2020/1/13,0,0
AFG,Afghanistan,2020/1/14,0,0
AFG,Afghanistan,2020/1/15,0,0
AFG,Afghanistan,2020/1/16,0,0
AFG,Afghanistan,2020/1/17,0,0
AFG,Afghanistan,2020/1/18,0,0
AFG,Afghanistan,2020/1/19,0,0
AFG,Afghanistan,2020/1/20,0,0
AFG,Afghanistan,2020/1/21,0,0
